2017-04-02 09:00:47 status unpacked sensible-utils:all 0.0.7
2017-04-02 09:00:47 status unpacked sensible-utils:all 0.0.7
2017-04-02 09:00:47 install login:armhf <none> 1:4.1.5.1-1
2017-04-02 09:00:47 status half-installed login:armhf 1:4.1.5.1-1
2017-04-02 09:00:47 status unpacked login:armhf 1:4.1.5.1-1
2017-04-02 09:00:48 status unpacked login:armhf 1:4.1.5.1-1
2017-04-02 09:00:48 install passwd:armhf <none> 1:4.1.5.1-1
2017-04-02 09:00:48 status half-installed passwd:armhf 1:4.1.5.1-1
2017-04-02 09:00:48 status unpacked passwd:armhf 1:4.1.5.1-1
2017-04-02 09:00:48 status unpacked passwd:armhf 1:4.1.5.1-1
2017-04-02 09:00:48 install libslang2:armhf <none> 2.2.4-15
2017-04-02 09:00:48 status half-installed libslang2:armhf 2.2.4-15
2017-04-02 09:00:48 status unpacked libslang2:armhf 2.2.4-15
2017-04-02 09:00:48 status unpacked libslang2:armhf 2.2.4-15
2017-04-02 09:00:48 install initscripts:armhf <none> 2.88dsf-41+deb7u1
2017-04-02 09:00:48 status half-installed initscripts:armhf 2.88dsf-41+deb7u1
2017-04-02 09:00:48 status unpacked initscripts:armhf 2.88dsf-41+deb7u1
2017-04-02 09:00:48 status unpacked initscripts:armhf 2.88dsf-41+deb7u1
2017-04-02 09:00:49 install sysv-rc:all <none> 2.88dsf-41+deb7u1
2017-04-02 09:00:49 status half-installed sysv-rc:all 2.88dsf-41+deb7u1
2017-04-02 09:00:49 status unpacked sysv-rc:all 2.88dsf-41+deb7u1
2017-04-02 09:00:49 status unpacked sysv-rc:all 2.88dsf-41+deb7u1
2017-04-02 09:00:49 install sysvinit:armhf <none> 2.88dsf-41+deb7u1
2017-04-02 09:00:49 status half-installed sysvinit:armhf 2.88dsf-41+deb7u1
2017-04-02 09:00:49 status unpacked sysvinit:armhf 2.88dsf-41+deb7u1
2017-04-02 09:00:49 status unpacked sysvinit:armhf 2.88dsf-41+deb7u1
2017-04-02 09:00:49 install sysvinit-utils:armhf <none> 2.88dsf-41+deb7u1
2017-04-02 09:00:49 status half-installed sysvinit-utils:armhf 2.88dsf-41+deb7u1
2017-04-02 09:00:49 status unpacked sysvinit-utils:armhf 2.88dsf-41+deb7u1
2017-04-02 09:00:49 status unpacked sysvinit-utils:armhf 2.88dsf-41+deb7u1
2017-04-02 09:00:49 install tar:armhf <none> 1.26+dfsg-0.1
2017-04-02 09:00:49 status half-installed tar:armhf 1.26+dfsg-0.1
2017-04-02 09:00:49 status unpacked tar:armhf 1.26+dfsg-0.1
2017-04-02 09:00:49 status unpacked tar:armhf 1.26+dfsg-0.1
2017-04-02 09:00:49 install tzdata:all <none> 2016d-0+deb7u1
2017-04-02 09:00:49 status half-installed tzdata:all 2016d-0+deb7u1
2017-04-02 09:00:50 status unpacked tzdata:all 2016d-0+deb7u1
2017-04-02 09:00:50 status unpacked tzdata:all 2016d-0+deb7u1
2017-04-02 09:00:50 install libustr-1.0-1:armhf <none> 1.0.4-3
2017-04-02 09:00:50 status half-installed libustr-1.0-1:armhf 1.0.4-3
2017-04-02 09:00:50 status unpacked libustr-1.0-1:armhf 1.0.4-3
2017-04-02 09:00:50 status unpacked libustr-1.0-1:armhf 1.0.4-3
2017-04-02 09:00:50 install bsdutils:armhf <none> 1:2.20.1-5.3
2017-04-02 09:00:50 status half-installed bsdutils:armhf 1:2.20.1-5.3
2017-04-02 09:00:50 status unpacked bsdutils:armhf 1:2.20.1-5.3
2017-04-02 09:00:50 status unpacked bsdutils:armhf 1:2.20.1-5.3
2017-04-02 09:00:50 install libblkid1:armhf <none> 2.20.1-5.3
2017-04-02 09:00:50 status half-installed libblkid1:armhf 2.20.1-5.3
2017-04-02 09:00:50 status unpacked libblkid1:armhf 2.20.1-5.3
2017-04-02 09:00:50 status unpacked libblkid1:armhf 2.20.1-5.3
2017-04-02 09:00:50 install libmount1:armhf <none> 2.20.1-5.3
2017-04-02 09:00:50 status half-installed libmount1:armhf 2.20.1-5.3
2017-04-02 09:00:50 status unpacked libmount1:armhf 2.20.1-5.3
2017-04-02 09:00:50 status unpacked libmount1:armhf 2.20.1-5.3
2017-04-02 09:00:50 install libuuid1:armhf <none> 2.20.1-5.3
2017-04-02 09:00:50 status half-installed libuuid1:armhf 2.20.1-5.3
2017-04-02 09:00:50 status unpacked libuuid1:armhf 2.20.1-5.3
2017-04-02 09:00:50 status unpacked libuuid1:armhf 2.20.1-5.3
2017-04-02 09:00:51 install mount:armhf <none> 2.20.1-5.3
2017-04-02 09:00:51 status half-installed mount:armhf 2.20.1-5.3
2017-04-02 09:00:51 status unpacked mount:armhf 2.20.1-5.3
2017-04-02 09:00:51 status unpacked mount:armhf 2.20.1-5.3
2017-04-02 09:00:51 install util-linux:armhf <none> 2.20.1-5.3
2017-04-02 09:00:51 status half-installed util-linux:armhf 2.20.1-5.3
2017-04-02 09:00:51 status unpacked util-linux:armhf 2.20.1-5.3
2017-04-02 09:00:51 status unpacked util-linux:armhf 2.20.1-5.3
2017-04-02 09:00:51 install liblzma5:armhf <none> 5.1.1alpha+20120614-2
2017-04-02 09:00:51 status half-installed liblzma5:armhf 5.1.1alpha+20120614-2
2017-04-02 09:00:51 status unpacked liblzma5:armhf 5.1.1alpha+20120614-2
